Datetime,SPY,QQQ,ES=F,NQ=F
2025-09-18 13:30:00+00:00,661.4099731445312,595.0700073242188,6681.75,24656.0
2025-09-18 13:31:00+00:00,662.0900268554688,595.0999755859375,6688.75,24686.5
2025-09-18 13:32:00+00:00,661.8300170898438,595.1849975585938,6686.0,24690.75
2025-09-18 13:33:00+00:00,661.8900146484375,595.3250122070312,6686.75,24695.5
2025-09-18 13:34:00+00:00,661.989990234375,595.1199951171875,6687.75,24698.0
2025-09-18 13:35:00+00:00,662.1220092773438,595.35498046875,6689.0,24697.75
2025-09-18 13:36:00+00:00,662.27001953125,595.47998046875,6690.5,24703.5
2025-09-18 13:37:00+00:00,662.1900024414062,595.2899780273438,6689.75,24696.0
2025-09-18 13:38:00+00:00,661.97998046875,594.8400268554688,6687.75,24676.25
2025-09-18 13:39:00+00:00,661.6950073242188,594.6300048828125,6684.75,24668.25
2025-09-18 13:40:00+00:00,661.3400268554688,594.0050048828125,6681.25,24642.5
2025-09-18 13:41:00+00:00,661.2100219726562,593.9500122070312,6680.0,24638.25
2025-09-18 13:42:00+00:00,661.095703125,594.0499877929688,6678.5,24643.0
2025-09-18 13:43:00+00:00,661.2192993164062,594.0701293945312,6679.75,24645.0
2025-09-18 13:44:00+00:00,660.77001953125,593.5800170898438,6675.5,24624.25
2025-09-18 13:45:00+00:00,660.5599975585938,593.2949829101562,6673.25,24612.25
2025-09-18 13:46:00+00:00,660.7000122070312,593.369873046875,6674.75,24616.25
2025-09-18 13:47:00+00:00,660.6799926757812,593.52001953125,6674.25,24622.5
2025-09-18 13:48:00+00:00,660.9600219726562,593.7899780273438,6677.25,24632.75
2025-09-18 13:49:00+00:00,661.4500122070312,594.3599853515625,6682.25,24656.75
2025-09-18 13:50:00+00:00,662.0999755859375,595.1599731445312,6689.0,24690.25
2025-09-18 13:51:00+00:00,661.9808959960938,595.0399780273438,6687.75,24685.0
2025-09-18 13:52:00+00:00,661.8900146484375,594.969970703125,6687.0,24682.25
2025-09-18 13:53:00+00:00,661.7899780273438,594.97509765625,6686.0,24682.5
2025-09-18 13:54:00+00:00,661.3300170898438,594.468017578125,6681.25,24660.75
2025-09-18 13:55:00+00:00,661.2650146484375,594.3200073242188,6680.5,24655.0
2025-09-18 13:56:00+00:00,661.1649780273438,594.280029296875,6679.5,24653.75
2025-09-18 13:57:00+00:00,661.47998046875,594.7100219726562,6682.75,24672.0
2025-09-18 13:58:00+00:00,661.7100219726562,594.9199829101562,6685.0,24680.0
2025-09-18 13:59:00+00:00,662.0700073242188,595.3200073242188,6688.75,24697.0
2025-09-18 14:00:00+00:00,662.3599853515625,595.3807983398438,6691.5,24700.25
2025-09-18 14:01:00+00:00,662.4600219726562,595.3200073242188,6692.75,24697.75
2025-09-18 14:02:00+00:00,662.6400146484375,595.760009765625,6694.75,24716.0
2025-09-18 14:03:00+00:00,662.6495971679688,595.7949829101562,6694.5,24716.75
2025-09-18 14:04:00+00:00,662.739990234375,595.905029296875,6695.5,24722.0
2025-09-18 14:05:00+00:00,662.97998046875,596.0999755859375,6698.25,24730.0
2025-09-18 14:06:00+00:00,663.1911010742188,596.2855224609375,6700.5,24738.25
2025-09-18 14:07:00+00:00,663.1749877929688,596.2742919921875,6700.25,24737.25
2025-09-18 14:08:00+00:00,663.3831787109375,596.3699951171875,6702.25,24741.5
2025-09-18 14:09:00+00:00,663.4949951171875,596.5349731445312,6703.5,24749.0
2025-09-18 14:10:00+00:00,663.6699829101562,596.77001953125,6705.25,24758.75
2025-09-18 14:11:00+00:00,663.4550170898438,596.4799194335938,6702.75,24746.0
2025-09-18 14:12:00+00:00,663.5700073242188,596.5900268554688,6704.25,24751.75
2025-09-18 14:13:00+00:00,663.6199951171875,596.4600219726562,6704.75,24745.0
2025-09-18 14:14:00+00:00,663.6199951171875,596.5399780273438,6704.75,24749.0
2025-09-18 14:15:00+00:00,663.7349853515625,596.6799926757812,6706.0,24754.5
2025-09-18 14:16:00+00:00,663.8900146484375,596.7908935546875,6707.75,24759.5
2025-09-18 14:17:00+00:00,663.7650146484375,596.6751098632812,6706.25,24755.0
2025-09-18 14:18:00+00:00,663.989990234375,596.9199829101562,6708.5,24765.5
2025-09-18 14:19:00+00:00,664.0999755859375,597.0499877929688,6709.75,24770.25
2025-09-18 14:20:00+00:00,664.1300048828125,597.2150268554688,6710.25,24777.5
2025-09-18 14:21:00+00:00,663.9550170898438,597.0999755859375,6708.0,24772.0
2025-09-18 14:22:00+00:00,663.760009765625,596.780029296875,6706.0,24759.0
2025-09-18 14:23:00+00:00,663.780029296875,596.8099975585938,6706.25,24760.25
2025-09-18 14:24:00+00:00,664.0700073242188,597.0250244140625,6709.5,24769.0
2025-09-18 14:25:00+00:00,664.27001953125,597.2899780273438,6711.5,24779.0
2025-09-18 14:26:00+00:00,664.4299926757812,597.4301147460938,6713.0,24786.25
2025-09-18 14:27:00+00:00,664.4299926757812,597.4099731445312,6713.0,24785.25
2025-09-18 14:28:00+00:00,664.280029296875,597.3699951171875,6711.5,24783.0
2025-09-18 14:29:00+00:00,664.4000244140625,597.4500122070312,6712.75,24786.75
2025-09-18 14:30:00+00:00,664.6500244140625,597.8200073242188,6715.5,24802.75
2025-09-18 14:31:00+00:00,664.72998046875,597.7949829101562,6716.25,24801.75
2025-09-18 14:32:00+00:00,664.6500244140625,597.719970703125,6715.25,24797.25
2025-09-18 14:33:00+00:00,664.469970703125,597.4500122070312,6713.5,24787.0
2025-09-18 14:34:00+00:00,664.3900146484375,597.3400268554688,6712.5,24782.5
2025-09-18 14:35:00+00:00,664.2999877929688,597.260009765625,6711.5,24779.5
2025-09-18 14:36:00+00:00,664.3300170898438,597.3150024414062,6712.0,24781.5
2025-09-18 14:37:00+00:00,664.1300048828125,597.1199951171875,6710.0,24773.25
2025-09-18 14:38:00+00:00,663.9550170898438,597.02001953125,6708.0,24769.5
2025-09-18 14:39:00+00:00,663.7999877929688,596.8809814453125,6706.5,24763.5
2025-09-18 14:40:00+00:00,663.809326171875,596.8699951171875,6706.25,24762.25
